Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,20.740038,20.872866,20.721064,20.844402,14.371201,53124340
2012-01-04,20.796965,20.825426,20.635674,20.654650,14.240379,31912485
2012-01-05,20.607210,20.607210,20.294119,20.493359,14.129173,52764821
2012-01-06,20.607210,20.664137,20.455408,20.464895,14.109550,31613571
2012-01-09,20.455408,20.721064,20.407970,20.702087,14.273084,41786041
2012-01-10,20.815939,20.872866,20.683111,20.815939,14.351583,29227420
2012-01-11,20.768501,20.844402,20.645161,20.777988,14.325417,30317467
2012-01-12,20.825426,20.872866,20.759012,20.863379,14.384288,28835648
2012-01-13,20.815939,20.825426,20.588236,20.721064,14.286167,30636829
2012-01-17,20.863379,21.034157,20.768501,20.815939,14.351583,37463376
2012-01-18,20.825426,20.872866,20.645161,20.844402,14.371201,36335385
2012-01-19,20.777988,20.787476,20.483871,20.721064,14.286167,36785549
2012-01-20,20.768501,20.920303,20.616697,20.777988,14.325417,41954892
2012-01-23,20.815939,20.863379,20.521822,20.597723,14.201136,35547415
2012-01-24,20.502846,20.559772,20.417458,20.550285,14.168421,26784880
2012-01-25,20.407970,20.635674,20.370020,20.607210,14.207674,36653272
2012-01-26,20.654650,20.683111,20.388994,20.521822,14.148802,142995864
2012-01-27,20.493359,20.493359,20.351044,20.379507,14.050680,140047931
2012-01-30,20.294119,20.474382,20.189753,20.474382,14.116093,76210419
2012-01-31,20.616697,20.673624,20.132828,20.303604,13.998349,58525247
2012-02-01,20.161289,20.426945,20.113852,20.218216,14.084269,47106844
2012-02-02,20.142315,20.218216,19.734344,20.028463,13.952090,60616067
2012-02-03,20.104364,20.161289,19.971537,20.113852,14.011572,43372311
2012-02-06,20.047438,20.094877,19.800758,19.876659,13.846337,33828235
2012-02-07,19.800758,20.018974,19.734344,19.971537,13.912430,39394199
2012-02-08,19.924099,20.000000,19.781784,19.933586,13.885992,36091173
2012-02-09,19.971537,20.161289,19.924099,20.056927,13.971914,30503287
2012-02-10,19.924099,19.981026,19.829222,19.971537,13.912430,28363245
2012-02-13,20.132828,20.332067,20.047438,20.208729,14.077662,31138217
2012-02-14,20.208729,20.322580,20.085388,20.237192,14.097487,26627097
2012-02-15,20.227703,20.265656,19.971537,20.028463,13.952090,31215580
2012-02-16,20.085388,20.284630,19.981026,20.237192,14.097487,25492360
2012-02-17,20.379507,20.379507,20.028463,20.104364,14.004966,36507609
2012-02-21,20.170778,20.227703,20.037951,20.132828,14.024785,24555881
2012-02-22,20.075901,20.332067,20.018974,20.265656,14.117320,30213332
2012-02-23,20.180265,20.284630,19.943073,19.952562,13.899215,41009664
2012-02-24,20.056927,20.246679,19.971537,20.094877,13.998353,34679867
2012-02-27,19.696396,20.275143,19.686907,20.170778,14.051228,37747640
2012-02-28,20.037951,20.189753,19.952562,20.132828,14.024785,30038051
2012-02-29,20.094877,20.256166,19.981026,20.047438,13.965304,38202652
2012-03-01,19.990513,20.540796,19.971537,20.388994,14.203238,50123497
2012-03-02,20.313093,20.398481,20.227703,20.313093,14.150363,26050453
2012-03-05,20.265656,20.474382,20.265656,20.398481,14.209853,28109969
2012-03-06,20.313093,20.445921,20.104364,20.180265,14.057837,38474057
2012-03-07,20.256166,20.483871,20.161289,20.275143,14.123922,34605560
2012-03-08,20.407970,20.464895,20.322580,20.360531,14.183410,38896500
2012-03-09,20.360531,20.626186,20.341557,20.379507,14.196628,41506625
2012-03-12,20.370020,20.531309,20.322580,20.436434,14.236282,37946213
2012-03-13,20.531309,20.910816,20.512335,20.882353,14.546920,47106106
2012-03-14,20.853889,20.967743,20.768501,20.806452,14.494043,38693816
2012-03-15,20.825426,20.872866,20.692600,20.787476,14.480824,32575767
2012-03-16,20.815939,20.967743,20.759012,20.815939,14.500653,69272253
2012-03-19,20.730551,20.834915,20.702087,20.759012,14.460999,23501881
2012-03-20,20.645161,20.872866,20.645161,20.683111,14.408127,25468329
2012-03-21,20.711575,20.853889,20.645161,20.654650,14.388296,28106175
2012-03-22,20.616697,20.740038,20.588236,20.616697,14.361856,22238873
2012-03-23,20.664137,20.844402,20.597723,20.702087,14.421346,24517410
2012-03-26,20.825426,21.119545,20.825426,21.024668,14.646055,35138147
2012-03-27,21.148008,21.631880,21.119545,21.347248,14.870770,64566248
2012-03-28,21.404175,21.432638,21.072105,21.261860,14.811287,34751539
2012-03-29,21.119545,21.299810,21.043644,21.271347,14.817896,35155432
2012-03-30,21.299810,21.593927,21.271347,21.489565,14.969908,35830835
2012-04-02,21.385199,21.565466,21.337761,21.432638,14.930256,36631665
2012-04-03,21.394688,21.499050,21.204933,21.385199,14.897212,39670241
2012-04-04,21.271347,21.299810,21.110058,21.242884,14.798067,32006291
2012-04-05,21.129032,21.214420,21.081594,21.195446,14.765021,23249448
2012-04-09,20.939280,21.091082,20.882353,20.920303,14.573354,23731442
2012-04-10,20.901327,21.404175,20.825426,20.863379,14.533703,50714580
2012-04-11,20.939280,21.024668,20.796965,20.825426,14.507260,39614379
2012-04-12,20.920303,20.920303,20.740038,20.796965,14.487435,42644840
2012-04-13,20.702087,20.872866,20.692600,20.730551,14.441169,38924220
2012-04-16,20.721064,20.929790,20.654650,20.853889,14.527090,40057481
2012-04-17,20.901327,21.204933,20.844402,21.166983,14.745195,30670978
2012-04-18,21.081594,21.442125,21.024668,21.299810,14.837727,33252224
2012-04-19,21.375711,21.423149,21.062618,21.195446,14.765021,33149459
2012-04-20,21.166983,21.565466,21.138519,21.404175,14.910427,39868182
2012-04-23,21.223909,21.375711,21.176472,21.233397,14.791459,25905107
2012-04-24,21.242884,21.631880,21.204933,21.470589,14.956693,37466116
